sent,verb,index,sign,seq_label,label,verbs,indexs,signs,labels,dataset
"Does any drink look more quenching than one of those Italian or French patent aperitifs, swirling in a refractive pink or russet oiliness, clothing the melting ice: a Campari, Dubonnet, Lillet or( too rare in this country) a Picon?",look,[3],NONE,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,['look'],[3],['NONE'],[0],vua
"For a place so hated, the Pontypool plant looks innocuous inside, like a cross between an oil refinery and a crematorium.",look,[8],NONE,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,['look'],[8],['NONE'],[0],vua
Look at this just one rose.,look,[0],NONE,"[0, 0, 0, 0, 0, 0]",0,['look'],[0],['NONE'],[0],vua
"Oh Charlotte, look what.",look,[2],NONE,"[0, 0, 0, 0]",0,['look'],[2],['NONE'],[0],vua
"She brushed her mistress's hair and piled it on top of her head in a cluster of curls, carefully and meticulously arranged to look quite casual.",look,[23],NONE,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,['look'],[23],['NONE'],[0],vua
Well she definitely looks at her mobile.,look,[3],NONE,"[0, 0, 0, 0, 0, 0, 0]",0,['look'],[3],['NONE'],[0],vua
"The Central Electricity Generating Board( now privatized and split into two companies) is funding a large-scale, 2-year project to assess links to childhood cancer, while another recently announced study aims to look at links to sudden infant death.",look,[31],NONE,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,['look'],[31],['NONE'],[0],vua
"Howard Rosenberg, TV critic of the Los Angeles Times, said: Just look at the re-runs of the old western series.",look,[11],NONE,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,['look'],[11],['NONE'],[0],vua
to look up.,look,[1],NONE,"[0, 0, 0]",0,['look'],[1],['NONE'],[0],vua
"You don't look well, you're not right, I can see, cos you don't look well.",look,[2],NONE,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,"['look', 'look']","[2, 2]","['NONE', 'NONE']","[0, 0]",vua
"Oh look at that, thank you.",look,[1],NONE,"[0, 0, 0, 0, 0, 0]",0,['look'],[1],['NONE'],[0],vua
"Sorge saw the Exec Director look up, his eyebrows raised suddenly.",look,[5],NONE,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,['look'],[5],['NONE'],[0],vua
And I'd look on the field and it was his brother who'd been tackled.,look,[2],NONE,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,['look'],[2],['NONE'],[0],vua
Paula perched herself against the cutting table trying to look nonchalant.,look,[9],NONE,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,['look'],[9],['NONE'],[0],vua
The laibon simply looks down at the floor of the boma.,look,[3],NONE,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,['look'],[3],['NONE'],[0],vua
They look really nice.,look,[1],NONE,"[0, 0, 0, 0]",0,['look'],[1],['NONE'],[0],vua
"I will lose my practice and my reputation and everything that I have and can look forward to, if not my liberty.",look,[15],VERB,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1,['look'],[15],['VERB'],[1],vua
"Ulster, the provincial champions, may well fancy their chances on November 21, but Leinster look certain to face an uphill struggle even though the tourists have rested 13 of the team that beat Wales.",look,[14],VERB,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,['look'],[14],['VERB'],[1],vua
"They walked back to South Audley Street together, weaving their way through the lunchtime crowds on the pavements, the tall, striking girl and the young man whose pixieish looks belied his twenty-six years.",look,[28],VERB,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1,['look'],[28],['VERB'],[1],vua
The increase will not be matched by dividend rises â too many companies have been paying more than they could afford over the past two years and need to repair their reserves and ratios â but 7 p.c. growth looks reasonable.,look,[39],VERB,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1,['look'],[39],['VERB'],[1],vua
"And Richard North looks at current provisions for the destruction of PCBs, and at the history of British involvement in a rather uncomfortable growth industry The security guard at the entrance to one of Britain's mightiest hazardous waste disposal plants pressed a button and the gate opened.",look,[3],VERB,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,['look'],[3],['VERB'],[1],vua
"Thus, we will look initially at biological and psychological theories.",look,[3],VERB,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1,['look'],[3],['VERB'],[1],vua
"I shall sit here and wait and sweat it out and look the facts in the face, trying to anticipate the worst that can happen.",look,[11],VERB,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,['look'],[11],['VERB'],[1],vua
"However, he suggested there was perhaps a need to look into the system more closely.",look,[9],VERB,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",1,['look'],[9],['VERB'],[1],vua
"When you look at, when you look at the some, all these, a lot of these composers and artists who died long ago and you look the birth range there's a hell of a lot at seventy five, seventy six",look,[2],VERB,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,"['look', 'look', 'look']","[2, 2, 2]","['VERB', 'VERB', 'VERB']","[1, 1, 1]",vua
And she's going to look for a flat somewhere else of course,look,[4],VERB,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1,['look'],[4],['VERB'],[1],vua
"Shame about that bungalow next door but one, cos that'd be a nice bungalow but it's not very lovely they don't look after it very well.",look,[21],VERB,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1,['look'],[21],['VERB'],[1],vua
"As their coach, Alex Wyllie, remarked: When we arrived in Wales we were told Cardiff were no damned good and look how well they played against us.",look,[20],VERB,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1,['look'],[20],['VERB'],[1],vua
The third section looks at the faltering progress towards integrated services.,look,[3],VERB,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1,['look'],[3],['VERB'],[1],vua
"Fortunately, Leinster's front five, which includes the experienced tight-head prop Des Fitzgerald, looks upto the task of scrummaging against the All Blacks.",look,[12],VERB,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,['look'],[12],['VERB'],[1],vua
"Later it was discovered to have been giving flips at half-a-crown a time to a section of the population who were queueing up , all through the ceremony , at the nearby soccer field ;",queue,[21],VPC,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,['queue'],[21],['VPC'],[1],parseme
"For example , you can filter for the top 25 % or bottom 25 % of salespeople based on the number of orders handled .",base,[17],IAV,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",1,['base'],[17],['IAV'],[1],parseme
"For example , you can filter for the top or bottom 25 % of salespeople based on the number of orders handled .",base,[15],IAV,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '0', '0', '0', '0', '0', '0']",1,['base'],[15],['IAV'],[1],parseme
"For example , if you set a conditional filter to show the top two cities based on sales , followed by an autofilter on the ShippedCity field to include only five cities , the PivotTable view will show the top two of the five cities you selected .",base,[15],IAV,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",1,['base'],[15],['IAV'],[1],parseme
The guidelines and exposure proposed by the Commissioner are based on those recently published by the International Convention on Non-Ionising Radiation Protection .,base,[9],IAV,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",1,['base'],[9],['IAV'],[1],parseme
"For example , if you move the Salesperson field to the MultiChart area , a chart is created based on data for each salesperson in that field .",base,[18],IAV,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '0', '0', '0', '0', '0', '0', '0', '0']",1,['base'],[18],['IAV'],[1],parseme
You can group based on the first n characters of the individual items .,base,[3],IAV,"['0', '0', '0', '1', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0']",1,['base'],[3],['IAV'],[1],parseme
Filtering based on the data in one cell ( Filter by Selection ),base,[1],IAV,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,['base'],[1],['IAV'],[1],parseme
"When you open a page , Access reads the connection file that is linked to the page , and based on the contents of the connection file , connects the page to the appropriate data source .",base,[19],IAV,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",1,['base'],[19],['IAV'],[1],parseme
"When you move a field that has custom groups between row and column areas , the custom group fields that are based on the field move with the field .",base,[21],IAV,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",1,['base'],[21],['IAV'],[1],parseme
"Moreover, as Newby( 1990) has pointed out, the complexities of environmental research have created a new kind of relationship between research and policy: in the past, the relationship was predicated on the belief that science provided decision-makers with objective hard facts on which to base their soft, value-ridden policies.",base,[44],NONE,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,['base'],[44],['NONE'],[0],vua
"Existing GIS techniques usually base the estimates on area-weighted shares, so that a new polygon created by slicing an existing area in half is assigned half the population of that source unit.",base,[4],VERB,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,['base'],[4],['VERB'],[1],vua
Harry tore back across the room as the landing light clicked on .,click,[10],VPC,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",1,['click'],[10],['VPC'],[1],parseme
"If the button is not selected , selecting new items to filter automatically turns filtering on and removes your former filter settings .",turn,[13],VPC,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '1', '0', '0', '0', '0', '0', '0', '0']",1,['turn'],[13],['VPC'],[1],parseme
"The President will be expecting me to have come for you with the Mercedes , but , honestly , if I 'd have waited to get it I would have turned up I do n't know when .",turn,[30],VPC,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '0', '0', '0', '0', '0', '0']",1,['turn'],[30],['VPC'],[1],parseme
"( this way the will associate your hand with food , and birds love food lol ) Then I turned on the tv and watch .",turn,[19],VPC,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '0', '0', '0', '0', '0']",1,['turn'],[19],['VPC'],[1],parseme
"Then , Ron , you come bounding downstairs going , Mum , look who turned up in the night ! and she 'll be all pleased to see Harry and no one need ever know we flew the car .",turn,[14],VPC,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,['turn'],[14],['VPC'],[1],parseme
"Although some may praise this as an opportunity for the private sector to finally serve the public good , NASA seems hesitant about turning over the reigns to the corporate world .",turn,[23],VPC,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '0', '0', '0', '0', '0', '0', '0']",1,['turn'],[23],['VPC'],[1],parseme
"In that case , the matter turns out to be a national problem after all .",turn,[6],VPC,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1,['turn'],[6],['VPC'],[1],parseme
"Whether it might have turned out differently , or whether it was all predetermined with the first word that came from the stranger 's mouth , is not the question .",turn,[4],VPC,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,['turn'],[4],['VPC'],[1],parseme
"They put the story into proper literary form – in Spanish – and then turned the manuscript over to Samson Carrasco , the bachelor from Salamanca , who proceeded to translate it into Arabic .",turn,[14],VPC,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",1,['turn'],[14],['VPC'],[1],parseme
"It turns out one of the surest barometers of the warming climate is the response of the non-human natural world to changing conditions , and biologists who study the responses have been aware for some years the biosphere is acknowledging global warming .",turn,[1],VPC,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,['turn'],[1],['VPC'],[1],parseme
In practise it turns out that it is sometimes impossible to answer this question .,turn,[3],VPC,"['0', '0', '0', '1', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",1,['turn'],[3],['VPC'],[1],parseme
"Supposing he was still alive in another four weeks , what would happen if he did n't turn up at Hogwarts ?",turn,[17],VPC,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '0', '0', '0']",1,['turn'],[17],['VPC'],[1],parseme
"By moving quickly to Iraqi sovereignty and improvement of Iraqi lives , the US may be able to get Iraqis on its side , so that they turn in the foreigners .",turn,[27],VPC,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]",1,['turn'],[27],['VPC'],[1],parseme
